key,name,description,update_at,total_volume,one_day_volume,seven_day_volume,thirty_day_volume,total_sales,one_day_sales,seven_day_sales,thirty_day_sales,total_average_price,one_day_average_price,seven_day_average_price,thirty_day_average_price,contracts
valhalla,Valhalla,"Valhalla is a crypto native brand for gamers. 

Valhalla represents more than a collection of digital avatars. It represents decades of gaming culture: the clutch plays, the ELO grind, the OT wins. Visit joinvalhalla.com for more details.",2022-12-14T01:41:41.201Z,9329.230239193987,1033.0688000009886,5233.712757162183,9329.230239193963,10956,674,5274,10956,0.8515179115730181,1.5327430267076982,0.9923611598714795,0.8515179115730159,[{'contract_address': '0x231d3559aa848bf10366fb9868590f01d34bf240'}]
cockpunch,The Legend of CØCKPUNCH™,"The Legend of COCKPUNCH™ is the tale of a fantastical realm, a universe of the bizarre from the mind of bestselling author [Tim Ferriss](https://tim.blog/about). Artwork and stories are the gateway drug in this Emergent Long Fiction (ELF) project. Learn more at [cockpunch.com](https://cockpunch.com). Follow [@cockpunch](https://twitter.com/cockpunch) and [@tferriss](https://twitter.com/tferriss) on Twitter.
Before buying this NFT, please read the NFT License Agreement at [tim.blog/cockpunch-license](https://tim.blog/cockpunch-license). This explains your rights and restrictions.",2022-12-14T00:52:26.269Z,4909.13120410736,214.9189649999997,4909.131204107351,4909.131204107351,4092,240,4092,4092,1.199689932577556,0.8954956874999987,1.1996899325775539,1.1996899325775539,[{'contract_address': '0xc178994cb9b66307cd62db8b411759dd36d9c2ee'}]
cryptopunks,CryptoPunks,"CryptoPunks launched as a fixed set of 10,000 items in mid-2017 and became one of the inspirations for the ERC-721 standard. They have been featured in places like The New York Times, Christie’s of London, Art|Basel Miami, and The PBS NewsHour.",2022-12-14T00:17:25.529Z,1074730.0570092907,682.01,2283.3100000000004,14395.810000000007,22045,9,35,213,48.75164694984308,75.77888888888889,65.23742857142858,67.58596244131459,[{'contract_address': '0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb'}]
mutant-ape-yacht-club,Mutant Ape Yacht Club,"The MUTANT APE YACHT CLUB is a collection of up to 20,000 Mutant Apes that can only be created by exposing an existing Bored Ape to a vial of MUTANT SERUM or by minting a Mutant Ape in the public sale.",2022-12-14T01:33:31.528Z,471969.41486507375,306.96159,2089.6377128333334,8677.91022934254,36114,20,135,630,13.068876747662229,15.3480795,15.478797872839506,13.774460681496096,[{'contract_address': '0x60e4d786628fea6478f785a6d7e704777c86a7c6'}]
art-blocks,Art Blocks,"Art Blocks is dedicated to bringing compelling works of contemporary generative art to life. We unite artists, collectors, and blockchain technology in service of groundbreaking artwork and remarkable experiences.",2022-12-13T19:46:49.494Z,462585.7158429447,280.70649121999026,2002.9172990395473,8767.642448134198,207288,283,1739,6493,2.2316087561409472,0.991895728692545,1.1517638292349324,1.3503222621491142,"[{'contract_address': '0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270'}, {'contract_address': '0x059edd72cd353df5106d2b9cc5ab83a52287ac3a'}, {'contract_address': '0x99a9b7c1116f9ceeb1652de04d5969cce509b069'}]"
boredapeyachtclub,Bored Ape Yacht Club,"The Bored Ape Yacht Club is a collection of 10,000 unique Bored Ape NFTs— unique digital collectibles living on the Ethereum blockchain. Your Bored Ape doubles as your Yacht Club membership card, and grants access to members-only benefits, the first of which is access to THE BATHROOM, a collaborative graffiti board. Future areas and perks can be unlocked by the community through roadmap activation. Visit www.BoredApeYachtClub.com for more details.",2022-12-14T01:33:08.251Z,696630.881650849,229.1105,1772.3331,12301.046416499998,27508,3,24,167,25.324664884791662,76.37016666666666,73.8472125,73.6589605778443,[{'contract_address': '0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d'}]
clonex,CLONE X - X TAKASHI MURAKAMI,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸",2022-12-14T01:15:48.436Z,243464.31190337936,121.090651,1266.8535876788999,4718.898648831946,20317,17,138,511,11.983280597695494,7.122979470588235,9.180098461441304,9.234635320610462,[{'contract_address': '0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b'}]
otherdeed,Otherdeed for Otherside,"Otherdeed is the key to claiming land in Otherside. Each have a unique blend of environment and sediment — some with resources, some home to powerful artifacts. And on a very few, a Koda roams.",2022-12-14T01:32:47.948Z,361788.02171370963,134.09059000000002,982.8579375502636,5885.428926359856,52629,57,404,2456,6.874309253713915,2.3524664912280704,2.4328166771046127,2.396347282719811,[{'contract_address': '0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258'}]
azuki,Azuki,"Take the red bean to join the garden. View the collection at [azuki.com/gallery](https://azuki.com/gallery).

Azuki starts with a collection of 10,000 avatars that give you membership access to The Garden: a corner of the internet where artists, builders, and web3 enthusiasts meet to create a decentralized future. Azuki holders receive access to exclusive drops, experiences, and more. Visit [azuki.com](https://azuki.com) for more details.

We rise together. We build together. We grow together.",2022-12-14T00:26:24.609Z,270897.23020645697,173.3109,918.78482,2942.3762490000004,28133,9,61,221,9.62916255665791,19.256766666666667,15.062046229508196,13.313919678733033,[{'contract_address': '0xed5af388653567af2f388e6224dc7c4b3241c544'}]
light-years-selection-pass,Light Years by Dmitri Cherniak - Selection Pass,"Each Selection Pass grants the owner the right to select an artwork from Light Years by Dmitri Cherniak. The lower the Selection Pass number you own, the earlier you are granted access to choose your preferred artwork. This selection process starts on 5th Dec 2022 at https://lightyears.fellowship.xyz/",2022-12-06T15:52:28.473Z,833.0400000000001,90.25,833.0400000000001,833.0400000000001,27,3,27,27,30.853333333333335,30.083333333333332,30.853333333333335,30.853333333333335,[{'contract_address': '0xe31cc44e305955fa5965addb42641832e9a5502f'}]
